"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,SNPSQL,nd,"San Pasqual Reservation",CA,3460,00255933
TRBF,SOBOBA,nd,"Soboba Reservation",CA,3870,00249635
TRBF,SOKGON,nd,"Sokaogon Chippewa Community",WI,3885,01577206
TRBF,SPKANE,nd,"Spokane Reservation",WA,3940,01511576
TRBF,SPMWKN,nd,"Shakopee Mdewakanton Sioux Community",MN~SD,3680,00649741
TRBF,SPRTLK,nd,"Spirit Lake Reservation",ND,3935,01934326
TRBF,SQUXIN,nd,"Squaxin Island Reservation",WA,3955,01508671
TRBF,SRMHWK,nd,"St. Regis Mohawk Reservation",NY,3320,00979449
TRBF,SROSAB,nd,"Santa Rosa Reservation",CA,3525,01934330
TRBF,SROSAR,nd,"Santa Rosa Rancheria",CA,3520,00247949
TRBF,SRPMCP,nd,"Salt River Reservation",AZ,3340,00037072
TRBF,STAANA,nd,"Santa Ana Pueblo",NM,3480,01934345
TRBF,STAANA,n,"San Felipe Pueblo/Santa Ana Pueblo joint-use area",NM,4930,02419124
TRBF,STAYNZ,nd,"Santa Ynez Reservation",CA,3540,00249132
TRBF,STHUTE,nd,"Southern Ute Reservation",CO,3925,00169585
TRBF,STLMSH,nd,"Stillaguamish Reservation",WA,4000,02419481
TRBF,STNDRK,nd,"Standing Rock Reservation",ND~SD,3970,01934335
TRBF,SUQUAM,nd,"Port Madison Reservation",WA,2925,01507571
TRBF,SUSANV,nd,"Susanville Indian Rancheria",CA,4060,00235836
TRBF,SWINOM,nd,"Swinomish Reservation",WA,4075,01528418
TRBF,SWOYTE,nd,"Lake Traverse Reservation",ND~SD,1860,01934336
TRBF,SYCUAN,nd,"Sycuan Reservation",CA,4090,00273630
TRBF,TABLEM,n,"Table Mountain Rancheria",CA,4110,02419484
TRBF,TAOSPB,nd,"Taos Pueblo",NM,4140,01934342
TRBF,TEJONT,none,"",,NA,NA
TRBF,TEMOAK,n,"Battle Mountain Reservation",NV,0165,00838653
TRBF,TEMOAK,nd,"Elko Colony",NV,1005,00856239
TRBF,TEMOAK,n,"South Fork Reservation",NV,3930,00861680
